,mean,mean,mean,min,max
,availability_365,number_of_reviews,price,price,price
neighbourhood,,,,,
Batignolles-Monceau,77.38,13.38,107.65,10,2000
Bourse,121.91,30.44,146.7,19,5150
Buttes-Chaumont,63.23,12.76,79.56,0,5000
Buttes-Montmartre,63.12,16.75,86.26,0,9379
Entrepôt,71.24,20.19,101.45,9,2000
Gobelins,68.25,16.37,82.07,0,1000
Hôtel-de-Ville,115.88,29.04,157.26,10,3183
Louvre,125.01,27.31,177.9,9,8000
Luxembourg,116.72,25.66,175.27,9,1610
Ménilmontant,61.41,13.42,74.15,10,1500
Observatoire,74.69,15.79,100.86,9,8921
Opéra,86.61,18.7,135.03,9,1898
Palais-Bourbon,110.86,23.04,182.46,10,3000
Panthéon,98.49,24.9,129.73,10,2200
Passy,112.49,15.52,164.83,0,8721
Popincourt,66.64,17.99,91.82,0,8288
Reuilly,70.37,16.42,88.49,0,3325
Temple,115.73,26.21,154.67,0,8500
Vaugirard,73.82,17.78,108.1,0,8576
Élysée,138.98,18.86,240.17,12,5000
